FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
579        2     3     116705       116705       0.55           100.00%
580        3     2     89160        89160        0.44           100.00%
581        2     3     5589         5589         0.04           100.00%
582        2     3     8827         8827         0.07           100.00%
583        3     2     6365         6365         0.04           100.00%
584        3     2     15079        15079        0.10           100.00%
585        3     2     6429         6429         0.05           100.00%
586        2     3     6833         6833         0.04           100.00%
587        3     2     14259        14259        0.09           100.00%
588        2     3     6603         6603         0.05           100.00%
589        3     2     19433        19433        0.11           100.00%
590        3     2     11215        11215        0.09           100.00%
591        2     3     9878         9878         0.08           100.00%
592        2     3     38976        38976        0.22           100.00%
593        3     2     5554         5554         0.04           100.00%
594        2     3     5552         5552         0.04           100.00%
595        2     3     6965729      6965729      32.62          100.00%
596        2     3     6816         6816         0.49           100.00%
597        3     2     325765       325765       2.81           100.00%
598        2     3     150398       150398       1.44           100.00%
599        3     2     9772         9772         0.46           100.00%
600        3     2     9867         9867         0.07           100.00%
601        2     3     309559       309559       1.39           100.00%
602        3     2     7562         7562         0.53           100.00%
603        2     3     11701        11701        0.07           100.00%
604        2     3     7063         7063         0.05           100.00%
605        3     2     10127        10127        0.07           100.00%
606        3     2     8898         8898         0.06           100.00%
607        3     2     63779        63779        0.32           100.00%
608        2     3     27458        27458        0.16           100.00%
609        3     2     9854         9854         0.06           100.00%
610        3     2     116529       116529       0.57           100.00%
611        3     2     37855        37855        0.19           100.00%
612        2     3     187087       187087       0.82           100.00%
613        2     3     9028         9028         0.06           100.00%
614        3     2     9361         9361         0.06           100.00%
615        3     2     8150         8150         0.05           100.00%
616        3     2     11557        11557        0.07           100.00%
617        2     3     4876         4876         0.03           100.00%
618        3     2     9165         9165         0.06           100.00%
619        2     3     4804         4804         0.03           100.00%
620        3     2     7608         7608         0.05           100.00%
621        3     2     8975         8975         0.06           100.00%
622        2     3     6305         6305         0.04           100.00%
623        2     3     88769        88769        0.40           100.00%
