FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
289        15    5     9912         9912         0.16           100.00%
290        17    5     7349         7349         0.12           100.00%
291        13    5     8796         8796         0.09           100.00%
292        4     11    7141         7141         0.05           100.00%
293        4     13    11245        11245        0.10           100.00%
294        3     15    11146        11146        0.08           100.00%
295        11    2     387488       387488       3.43           100.00%
296        7     13    12569        12569        0.16           100.00%
297        6     10    7660         7660         0.07           100.00%
298        11    6     6671         6671         0.05           100.00%
299        9     11    8721         8721         0.08           100.00%
300        17    2     11637        11637        0.09           100.00%
301        14    6     6627         6627         0.05           100.00%
302        9     11    24457        24457        0.23           100.00%
303        17    7     13632        13632        0.14           100.00%
304        5     16    9435         9435         0.09           100.00%
305        6     13    13517        13517        0.29           100.00%
306        17    6     24089        24089        0.37           100.00%
307        15    5     12618        12618        0.11           100.00%
308        6     11    39785        39785        0.30           100.00%
309        13    9     5407         5407         0.04           100.00%
310        6     13    8728         8728         0.07           100.00%
311        5     14    8154         8154         0.06           100.00%
312        17    7     6322         6322         0.05           100.00%
313        10    3     7107         7107         0.05           100.00%
314        15    3     17523        17523        0.14           100.00%
315        13    6     8423         8423         0.07           100.00%
316        17    9     10935        10935        0.08           100.00%
317        8     17    4992         4992         0.04           100.00%
318        6     10    5840         5840         0.05           100.00%
319        14    4     579741       579741       6.66           100.00%
320        17    4     25071        25071        5.92           100.00%
321        2     10    31376        31376        0.98           100.00%
322        13    7     9008         9008         0.65           100.00%
323        15    7     8782         8782         0.23           100.00%
324        11    5     6783         6783         0.19           100.00%
325        17    4     9722         9722         0.58           100.00%
326        6     10    6060         6060         0.31           100.00%
327        8     12    7322         7322         0.06           100.00%
328        5     14    10592        10592        0.08           100.00%
329        5     13    23688        23688        0.18           100.00%
330        2     12    7799         7799         0.06           100.00%
331        2     14    12028        12028        0.09           100.00%
332        10    4     5085         5085         0.04           100.00%
333        10    3     121370       121370       1.69           100.00%
334        8     13    10968        10968        0.36           100.00%
335        11    5     9879         9879         0.11           100.00%
336        10    8     5879         5879         0.06           100.00%
337        13    8     253530       253530       2.34           100.00%
338        6     16    15095        15095        0.85           100.00%
339        2     11    7051         7051         0.06           100.00%
340        3     17    49510        49510        0.46           100.00%
341        6     10    6751         6751         0.14           100.00%
342        11    2     7483         7483         0.06           100.00%
343        13    4     24934        24934        0.30           100.00%
344        5     12    9467         9467         0.23           100.00%
345        10    7     10410        10410        0.08           100.00%
346        4     16    14555        14555        0.13           100.00%
347        15    4     6730         6730         0.14           100.00%
