FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
497        3     117   0            50000        30000.00 (DNF) 0.00%
498        3     118   0            50000        30000.00 (DNF) 0.00%
499        3     119   0            50000        30000.00 (DNF) 0.00%
500        3     120   0            50000        30000.00 (DNF) 0.00%
501        3     121   0            50000        30000.00 (DNF) 0.00%
502        3     122   0            50000        30000.00 (DNF) 0.00%
503        3     123   1380         50000        30000.00 (DNF) 2.76%
504        3     124   46920        50000        30000.00 (DNF) 93.84%
505        3     125   0            50000        30000.00 (DNF) 0.00%
506        3     126   1380         50000        30000.00 (DNF) 2.76%
507        3     127   0            50000        30000.00 (DNF) 0.00%
508        4     0     0            50000        30000.00 (DNF) 0.00%
509        4     1     0            50000        30000.00 (DNF) 0.00%
510        4     2     0            50000        30000.00 (DNF) 0.00%
511        4     3     0            50000        30000.00 (DNF) 0.00%
512        4     5     16560        50000        30000.00 (DNF) 33.12%
