FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
332        938   1019  6744         6744         0.19           100.00%
333        943   1116  25838        25838        0.28           100.00%
334        604   265   26383        26383        0.56           100.00%
335        161   860   11142        11142        0.22           100.00%
336        803   936   8979         8979         0.14           100.00%
337        216   884   10961        10961        0.19           100.00%
338        972   236   19833        19833        0.34           100.00%
339        1045  191   18440        18440        0.29           100.00%
340        760   865   7199         7199         0.16           100.00%
341        774   976   4867         4867         0.14           100.00%
342        673   143   6132         6132         0.16           100.00%
343        556   808   8745         8745         0.20           100.00%
344        402   909   14803        14803        0.19           100.00%
345        547   252   5007         5007         0.12           100.00%
346        170   256   6410         6410         0.09           100.00%
347        979   400   28524        28524        0.34           100.00%
348        640   547   38711        38711        0.46           100.00%
349        525   356   17441        17441        0.28           100.00%
350        489   378   5391         5391         0.14           100.00%
351        369   1114  20053        20053        0.30           100.00%
352        767   584   6064         6064         0.15           100.00%
353        143   442   23219        23219        0.33           100.00%
354        976   322   18334        18334        0.22           100.00%
355        222   515   5209         5209         0.10           100.00%
356        1045  657   22347        22347        0.26           100.00%
357        1032  658   5169         5169         0.13           100.00%
358        918   388   23765        23765        0.30           100.00%
359        261   807   7633         7633         0.16           100.00%
360        1039  1140  269540       269540       2.44           100.00%
361        281   562   8362         8362         0.17           100.00%
362        677   983   601951       601951       5.30           100.00%
363        533   343   15248        15248        0.26           100.00%
364        1045  701   5813         5813         0.17           100.00%
365        1072  284   7979         7979         0.16           100.00%
366        1110  781   5179         5179         0.13           100.00%
367        425   1049  10760        10760        0.19           100.00%
368        1088  649   6614         6614         0.15           100.00%
369        556   1100  25559        25559        0.26           100.00%
370        388   165   7570         7570         0.16           100.00%
371        165   176   126461       126461       1.93           100.00%
372        392   242   5392         5392         0.14           100.00%
373        151   164   21399        21399        0.28           100.00%
374        315   222   40580        40580        0.48           100.00%
375        1120  231   44399        44399        0.51           100.00%
376        589   670   7901         7901         0.19           100.00%
377        634   775   7290         7290         0.19           100.00%
378        1082  284   10998        10998        0.21           100.00%
379        670   690   6366         6366         0.15           100.00%
380        475   1100  6258         6258         0.15           100.00%
381        474   662   32432        32432        0.37           100.00%
382        982   1032  5852         5852         0.17           100.00%
383        587   431   18551        18551        0.23           100.00%
384        392   602   7883         7883         0.16           100.00%
385        726   198   5786         5786         0.17           100.00%
386        493   794   6749         6749         0.18           100.00%
387        1025  311   10734        10734        0.13           100.00%
388        515   822   4990         4990         0.12           100.00%
389        326   523   12487        12487        0.23           100.00%
390        739   685   4989         4989         0.12           100.00%
391        135   333   10342        10342        0.25           100.00%
392        1142  1071  160836       160836       1.53           100.00%
393        699   905   7862         7862         0.16           100.00%
394        313   362   9715         9715         0.21           100.00%
395        373   581   7805         7805         0.16           100.00%
396        857   407   7106         7106         0.18           100.00%
397        829   524   33160        33160        0.38           100.00%
398        707   138   5407         5407         0.14           100.00%
399        260   476   10057        10057        0.18           100.00%
400        258   405   15118        15118        0.30           100.00%
401        373   909   5589         5589         0.17           100.00%
402        851   873   118088       118088       1.17           100.00%
403        312   777   33743        33743        0.39           100.00%
404        1052  301   7966         7966         0.16           100.00%
405        745   976   47898        47898        0.52           100.00%
406        742   1121  7076         7076         0.13           100.00%
407        1028  1085  23810        23810        0.30           100.00%
408        291   865   5049         5049         0.15           100.00%
409        245   917   395561       395561       3.57           100.00%
410        341   654   9317         9317         0.20           100.00%
411        1021  567   8787         8787         0.17           100.00%
412        971   422   22906        22906        0.33           100.00%
413        761   790   6870         6870         0.21           100.00%
414        541   949   5592         5592         0.11           100.00%
415        417   1065  42278        42278        0.46           100.00%
416        665   1111  161598       161598       1.50           100.00%
417        709   1066  5049         5049         0.15           100.00%
418        993   685   86322        86322        0.84           100.00%
419        874   1100  20004        20004        0.27           100.00%
420        333   671   12195        12195        0.17           100.00%
421        323   726   9198         9198         0.17           100.00%
422        1055  679   25585        25585        0.32           100.00%
423        178   724   4943         4943         0.14           100.00%
424        502   334   20869        20869        0.27           100.00%
